rental_id,inventory_id,customer_id,staff_id,film_id,store_id,category_id,name,rental_duration,rental_rate,replacement_cost,name_customer,data_aluguel,retorno_aluguel
2,1525,459,1,333,2,12,Music,7,2.99,16.99,Tommy Collazo,2005-05-24,2005-05-28
3045,3065,459,2,673,2,12,Music,3,0.99,19.99,Tommy Collazo,2005-06-20,2005-06-23
1977,2468,459,2,540,1,12,Music,7,2.99,10.99,Tommy Collazo,2005-06-17,2005-06-23
10233,4571,459,2,999,2,3,Children,5,2.99,28.99,Tommy Collazo,2005-08-01,2005-08-10
2075,2415,459,2,527,1,11,Horror,4,4.99,24.99,Tommy Collazo,2005-06-17,2005-06-19
6206,1368,459,2,301,2,11,Horror,4,0.99,24.99,Tommy Collazo,2005-07-11,2005-07-15
3506,19,459,1,4,1,11,Horror,5,2.99,26.99,Tommy Collazo,2005-07-06,2005-07-07
10255,4558,459,1,995,1,11,Horror,5,4.99,11.99,Tommy Collazo,2005-08-01,2005-08-03
7717,730,459,2,159,2,5,Comedy,5,4.99,12.99,Tommy Collazo,2005-07-28,2005-07-30
7913,4001,459,1,871,2,5,Comedy,6,4.99,19.99,Tommy Collazo,2005-07-28,2005-08-05
8289,4579,459,2,1000,2,5,Comedy,3,4.99,18.99,Tommy Collazo,2005-07-29,2005-08-06
8557,1481,459,1,324,1,5,Comedy,3,4.99,11.99,Tommy Collazo,2005-07-29,2005-08-07
7820,4475,459,1,978,1,5,Comedy,3,0.99,12.99,Tommy Collazo,2005-07-28,2005-08-05
7639,767,459,1,167,1,16,Travel,6,4.99,10.99,Tommy Collazo,2005-07-28,2005-07-29
8897,1964,459,1,428,2,8,Family,6,2.99,21.99,Tommy Collazo,2005-07-30,2005-08-01
3234,3252,459,1,715,2,8,Family,3,4.99,25.99,Tommy Collazo,2005-06-21,2005-06-29
9744,839,459,2,183,2,8,Family,4,4.99,14.99,Tommy Collazo,2005-07-31,2005-08-03
10117,1894,459,2,412,2,6,Documentary,6,4.99,25.99,Tommy Collazo,2005-07-31,2005-08-01
3041,2676,459,2,587,1,6,Documentary,6,4.99,20.99,Tommy Collazo,2005-06-20,2005-06-23
1876,384,459,1,85,2,6,Documentary,4,0.99,29.99,Tommy Collazo,2005-06-17,2005-06-18
4519,4425,459,2,967,2,14,Sci-Fi,5,2.99,26.99,Tommy Collazo,2005-07-08,2005-07-12
5301,245,459,2,55,1,14,Sci-Fi,6,2.99,27.99,Tommy Collazo,2005-07-09,2005-07-16
2899,1919,459,1,417,1,1,Action,5,0.99,29.99,Tommy Collazo,2005-06-20,2005-06-23
7623,1146,459,2,253,2,1,Action,5,4.99,18.99,Tommy Collazo,2005-07-28,2005-08-04
5695,440,459,2,97,2,1,Action,7,0.99,24.99,Tommy Collazo,2005-07-10,2005-07-13
10531,3846,459,2,842,2,10,Games,4,2.99,13.99,Tommy Collazo,2005-08-01,2005-08-04
9639,1373,459,2,302,1,10,Games,5,2.99,29.99,Tommy Collazo,2005-07-31,2005-08-03
6750,3838,459,2,841,1,15,Sports,5,2.99,9.99,Tommy Collazo,2005-07-12,2005-07-18
10499,3293,459,2,725,1,4,Classics,6,4.99,25.99,Tommy Collazo,2005-08-01,2005-08-10
9137,840,459,2,184,1,4,Classics,3,2.99,24.99,Tommy Collazo,2005-07-30,2005-08-06
1449,1525,471,2,333,2,12,Music,7,2.99,16.99,Dean Sauer,2005-06-15,2005-06-18
9560,4236,471,1,921,1,12,Music,7,2.99,29.99,Dean Sauer,2005-07-31,2005-08-07
616,989,471,1,220,2,12,Music,7,2.99,13.99,Dean Sauer,2005-05-28,2005-06-02
6912,1701,471,1,370,2,3,Children,4,2.99,26.99,Dean Sauer,2005-07-12,2005-07-19
9502,2700,471,1,593,2,11,Horror,6,0.99,13.99,Dean Sauer,2005-07-31,2005-08-01
2165,2392,471,1,522,2,5,Comedy,4,2.99,9.99,Dean Sauer,2005-06-17,2005-06-21
8199,404,471,1,89,2,2,Animation,7,0.99,22.99,Dean Sauer,2005-07-28,2005-08-04
6336,1229,471,2,272,1,7,Drama,5,4.99,9.99,Dean Sauer,2005-07-11,2005-07-20
9077,4324,471,1,942,1,7,Drama,7,0.99,27.99,Dean Sauer,2005-07-30,2005-08-08
10828,2448,471,1,534,2,8,Family,5,0.99,18.99,Dean Sauer,2005-08-01,2005-08-09
1447,984,471,1,219,1,6,Documentary,6,4.99,20.99,Dean Sauer,2005-06-15,2005-06-21
6293,4260,471,2,926,2,6,Documentary,5,2.99,11.99,Dean Sauer,2005-07-11,2005-07-13
3917,2747,471,1,602,2,14,Sci-Fi,5,0.99,14.99,Dean Sauer,2005-07-06,2005-07-11
4020,3760,471,1,823,1,1,Action,4,2.99,21.99,Dean Sauer,2005-07-07,2005-07-10
10430,1150,471,1,254,2,15,Sports,4,2.99,11.99,Dean Sauer,2005-08-01,2005-08-03
2350,1179,471,1,263,1,15,Sports,6,4.99,14.99,Dean Sauer,2005-06-18,2005-06-23
3073,3164,471,2,694,2,4,Classics,6,4.99,15.99,Dean Sauer,2005-06-20,2005-06-26
5499,1525,127,1,333,2,12,Music,7,2.99,16.99,Elaine Stevens,2005-07-10,2005-07-17
2412,1946,127,1,424,1,3,Children,6,0.99,12.99,Elaine Stevens,2005-06-18,2005-06-27
708,3133,127,2,688,2,3,Children,6,0.99,12.99,Elaine Stevens,2005-05-29,2005-05-31
9859,4094,127,1,892,1,2,Animation,3,4.99,18.99,Elaine Stevens,2005-07-31,2005-08-05
5983,351,127,1,78,1,2,Animation,7,2.99,12.99,Elaine Stevens,2005-07-11,2005-07-15
8209,2484,127,2,545,1,9,Foreign,4,0.99,14.99,Elaine Stevens,2005-07-28,2005-08-07
4811,4032,127,2,878,2,16,Travel,3,4.99,25.99,Elaine Stevens,2005-07-08,2005-07-12
452,2993,127,2,656,2,16,Travel,3,0.99,9.99,Elaine Stevens,2005-05-27,2005-05-30
10973,3562,127,2,778,1,8,Family,3,4.99,24.99,Elaine Stevens,2005-08-02,2005-08-08
10787,3246,127,1,715,1,8,Family,3,4.99,25.99,Elaine Stevens,2005-08-01,2005-08-10
10197,1186,127,2,264,2,10,Games,6,2.99,13.99,Elaine Stevens,2005-08-01,2005-08-07
1293,2882,127,1,632,1,13,New,5,4.99,10.99,Elaine Stevens,2005-06-15,2005-06-18
7912,745,127,1,163,2,13,New,4,0.99,29.99,Elaine Stevens,2005-07-28,2005-08-05
4652,4198,127,2,913,1,13,New,3,0.99,20.99,Elaine Stevens,2005-07-08,2005-07-16
1803,3784,127,1,828,2,4,Classics,7,2.99,12.99,Elaine Stevens,2005-06-16,2005-06-21
9711,1525,231,2,333,2,12,Music,7,2.99,16.99,Georgia Jacobs,2005-07-31,2005-08-02
5560,720,231,2,158,1,12,Music,6,2.99,16.99,Georgia Jacobs,2005-07-10,2005-07-19
3561,213,231,2,48,1,3,Children,3,4.99,24.99,Georgia Jacobs,2005-07-06,2005-07-14
6877,3968,231,1,864,2,3,Children,5,0.99,21.99,Georgia Jacobs,2005-07-12,2005-07-18
8556,2793,231,2,613,1,5,Comedy,5,0.99,19.99,Georgia Jacobs,2005-07-29,2005-07-30
329,2659,231,2,583,2,2,Animation,3,4.99,26.99,Georgia Jacobs,2005-05-27,2005-05-31
512,2176,231,2,470,1,2,Animation,4,4.99,24.99,Georgia Jacobs,2005-05-28,2005-06-05
2423,1744,231,1,379,2,7,Drama,7,0.99,14.99,Georgia Jacobs,2005-06-18,2005-06-21
3839,3230,231,1,709,2,7,Drama,7,2.99,19.99,Georgia Jacobs,2005-07-06,2005-07-11
4969,4563,231,2,996,1,6,Documentary,6,0.99,9.99,Georgia Jacobs,2005-07-08,2005-07-12
4289,3172,231,2,697,1,1,Action,7,0.99,16.99,Georgia Jacobs,2005-07-07,2005-07-09
479,2060,231,2,447,1,10,Games,5,2.99,28.99,Georgia Jacobs,2005-05-27,2005-06-05
6862,3477,231,2,762,2,10,Games,6,0.99,29.99,Georgia Jacobs,2005-07-12,2005-07-18
8949,2876,231,1,631,1,15,Sports,4,0.99,11.99,Georgia Jacobs,2005-07-30,2005-08-08
5096,490,231,1,109,2,13,New,3,0.99,17.99,Georgia Jacobs,2005-07-09,2005-07-14
769,1523,575,1,333,1,12,Music,7,2.99,16.99,Isaac Oglesby,2005-05-29,2005-06-01
454,3499,575,1,767,1,12,Music,6,4.99,13.99,Isaac Oglesby,2005-05-27,2005-05-30
3558,1742,575,2,378,2,12,Music,5,2.99,24.99,Isaac Oglesby,2005-07-06,2005-07-15
6907,2516,575,1,553,2,3,Children,4,0.99,12.99,Isaac Oglesby,2005-07-12,2005-07-18
9733,1255,575,1,277,1,11,Horror,4,4.99,24.99,Isaac Oglesby,2005-07-31,2005-08-04
10629,997,575,2,222,2,11,Horror,4,4.99,27.99,Isaac Oglesby,2005-08-01,2005-08-08
774,1188,575,1,265,1,5,Comedy,5,4.99,28.99,Isaac Oglesby,2005-05-29,2005-06-01
1866,2579,575,2,565,1,9,Foreign,6,4.99,9.99,Isaac Oglesby,2005-06-17,2005-06-19
7139,846,575,1,185,1,9,Foreign,3,2.99,10.99,Isaac Oglesby,2005-07-27,2005-07-30
7083,2663,575,2,585,2,7,Drama,4,0.99,25.99,Isaac Oglesby,2005-07-27,2005-07-30
