customer_id,store_id,first_name,last_name,email,address_id,activebool,create_date,active,name_customer,address,district,city_id,postal_code,phone,city,country_id,country
524,1,Jared,Ely,jared.ely@sakilacustomer.org,530,True,2006-02-14,1,Jared Ely,1003 Qinhuangdao Street,West Java,419,25972,35533115997.0,Purwakarta,45,Indonesia
1,1,Mary,Smith,mary.smith@sakilacustomer.org,5,True,2006-02-14,1,Mary Smith,1913 Hanoi Way,Nagasaki,463,35200,28303384290.0,Sasebo,50,Japan
2,1,Patricia,Johnson,patricia.johnson@sakilacustomer.org,6,True,2006-02-14,1,Patricia Johnson,1121 Loja Avenue,California,449,17886,838635286649.0,San Bernardino,103,United States
3,1,Linda,Williams,linda.williams@sakilacustomer.org,7,True,2006-02-14,1,Linda Williams,692 Joliet Street,Attika,38,83579,448477190408.0,Athenai,39,Greece
4,2,Barbara,Jones,barbara.jones@sakilacustomer.org,8,True,2006-02-14,1,Barbara Jones,1566 Inegl Manor,Mandalay,349,53561,705814003527.0,Myingyan,64,Myanmar
5,1,Elizabeth,Brown,elizabeth.brown@sakilacustomer.org,9,True,2006-02-14,1,Elizabeth Brown,53 Idfu Parkway,Nantou,361,42399,10655648674.0,Nantou,92,Taiwan
6,2,Jennifer,Davis,jennifer.davis@sakilacustomer.org,10,True,2006-02-14,1,Jennifer Davis,1795 Santiago de Compostela Way,Texas,295,18743,860452626434.0,Laredo,103,United States
7,1,Maria,Miller,maria.miller@sakilacustomer.org,11,True,2006-02-14,1,Maria Miller,900 Santiago de Compostela Parkway,Central Serbia,280,93896,716571220373.0,Kragujevac,108,Yugoslavia
8,2,Susan,Wilson,susan.wilson@sakilacustomer.org,12,True,2006-02-14,1,Susan Wilson,478 Joliet Way,Hamilton,200,77948,657282285970.0,Hamilton,68,New Zealand
9,2,Margaret,Moore,margaret.moore@sakilacustomer.org,13,True,2006-02-14,1,Margaret Moore,613 Korolev Drive,Masqat,329,45844,380657522649.0,Masqat,71,Oman
10,1,Dorothy,Taylor,dorothy.taylor@sakilacustomer.org,14,True,2006-02-14,1,Dorothy Taylor,1531 Sal Drive,Esfahan,162,53628,648856936185.0,Esfahan,46,Iran
11,2,Lisa,Anderson,lisa.anderson@sakilacustomer.org,15,True,2006-02-14,1,Lisa Anderson,1542 Tarlac Parkway,Kanagawa,440,1027,635297277345.0,Sagamihara,50,Japan
12,1,Nancy,Thomas,nancy.thomas@sakilacustomer.org,16,True,2006-02-14,1,Nancy Thomas,808 Bhopal Manor,Haryana,582,10672,465887807014.0,Yamuna Nagar,44,India
13,2,Karen,Jackson,karen.jackson@sakilacustomer.org,17,True,2006-02-14,1,Karen Jackson,270 Amroha Parkway,Osmaniye,384,29610,695479687538.0,Osmaniye,97,Turkey
14,2,Betty,White,betty.white@sakilacustomer.org,18,True,2006-02-14,1,Betty White,770 Bydgoszcz Avenue,California,120,16266,517338314235.0,Citrus Heights,103,United States
15,1,Helen,Harris,helen.harris@sakilacustomer.org,19,True,2006-02-14,1,Helen Harris,419 Iligan Lane,Madhya Pradesh,76,72878,990911107354.0,Bhopal,44,India
16,2,Sandra,Martin,sandra.martin@sakilacustomer.org,20,True,2006-02-14,0,Sandra Martin,360 Toulouse Parkway,England,495,54308,949312333307.0,Southend-on-Sea,102,United Kingdom
17,1,Donna,Thompson,donna.thompson@sakilacustomer.org,21,True,2006-02-14,1,Donna Thompson,270 Toulon Boulevard,Kalmykia,156,81766,407752414682.0,Elista,80,Russian Federation
18,2,Carol,Garcia,carol.garcia@sakilacustomer.org,22,True,2006-02-14,1,Carol Garcia,320 Brest Avenue,Kaduna,252,43331,747791594069.0,Kaduna,69,Nigeria
19,1,Ruth,Martinez,ruth.martinez@sakilacustomer.org,23,True,2006-02-14,1,Ruth Martinez,1417 Lancaster Avenue,Northern Cape,267,72192,272572357893.0,Kimberley,85,South Africa
20,2,Sharon,Robinson,sharon.robinson@sakilacustomer.org,24,True,2006-02-14,1,Sharon Robinson,1688 Okara Way,Nothwest Border Prov,327,21954,144453869132.0,Mardan,72,Pakistan
21,1,Michelle,Clark,michelle.clark@sakilacustomer.org,25,True,2006-02-14,1,Michelle Clark,262 A Corua (La Corua) Parkway,Dhaka,525,34418,892775750063.0,Tangail,12,Bangladesh
22,1,Laura,Rodriguez,laura.rodriguez@sakilacustomer.org,26,True,2006-02-14,1,Laura Rodriguez,28 Charlotte Amalie Street,Rabat-Sal-Zammour-Z,443,37551,161968374323.0,Sal,62,Morocco
23,2,Sarah,Lewis,sarah.lewis@sakilacustomer.org,27,True,2006-02-14,1,Sarah Lewis,1780 Hino Boulevard,Liepaja,303,7716,902731229323.0,Liepaja,54,Latvia
24,2,Kimberly,Lee,kimberly.lee@sakilacustomer.org,28,True,2006-02-14,1,Kimberly Lee,96 Tafuna Way,Crdoba,128,99865,934730187245.0,Crdoba,6,Argentina
25,1,Deborah,Walker,deborah.walker@sakilacustomer.org,29,True,2006-02-14,1,Deborah Walker,934 San Felipe de Puerto Plata Street,Sind,472,99780,196495945706.0,Shikarpur,72,Pakistan
26,2,Jessica,Hall,jessica.hall@sakilacustomer.org,30,True,2006-02-14,1,Jessica Hall,18 Duisburg Boulevard, - ,121,58327,998009777982.0,Citt del Vaticano,41,Holy See (Vatican City State)
27,2,Shirley,Allen,shirley.allen@sakilacustomer.org,31,True,2006-02-14,1,Shirley Allen,217 Botshabelo Place,Southern Mindanao,138,49521,665356572025.0,Davao,75,Philippines
28,1,Cynthia,Young,cynthia.young@sakilacustomer.org,32,True,2006-02-14,1,Cynthia Young,1425 Shikarpur Manor,Bihar,346,65599,678220867005.0,Munger (Monghyr),44,India
29,2,Angela,Hernandez,angela.hernandez@sakilacustomer.org,33,True,2006-02-14,1,Angela Hernandez,786 Aurora Avenue,Yamaguchi,474,65750,18461860151.0,Shimonoseki,50,Japan
30,1,Melissa,King,melissa.king@sakilacustomer.org,34,True,2006-02-14,1,Melissa King,1668 Anpolis Street,Taipei,316,50199,525255540978.0,Lungtan,92,Taiwan
31,2,Brenda,Wright,brenda.wright@sakilacustomer.org,35,True,2006-02-14,1,Brenda Wright,33 Gorontalo Way,West Bengali,257,30348,745994947458.0,Kamarhati,44,India
32,1,Amy,Lopez,amy.lopez@sakilacustomer.org,36,True,2006-02-14,1,Amy Lopez,176 Mandaluyong Place,Uttar Pradesh,239,65213,627705991774.0,Jhansi,44,India
33,2,Anna,Hill,anna.hill@sakilacustomer.org,37,True,2006-02-14,1,Anna Hill,127 Purnea (Purnia) Manor,Piemonte,17,79388,911872220378.0,Alessandria,49,Italy
34,2,Rebecca,Scott,rebecca.scott@sakilacustomer.org,38,True,2006-02-14,1,Rebecca Scott,61 Tama Street,Okayama,284,94065,708403338270.0,Kurashiki,50,Japan
35,2,Virginia,Green,virginia.green@sakilacustomer.org,39,True,2006-02-14,1,Virginia Green,391 Callao Drive,Midi-Pyrnes,544,34021,440512153169.0,Toulouse,34,France
36,2,Kathleen,Adams,kathleen.adams@sakilacustomer.org,40,True,2006-02-14,1,Kathleen Adams,334 Munger (Monghyr) Lane,Markazi,31,38145,481183273622.0,Arak,46,Iran
37,1,Pamela,Baker,pamela.baker@sakilacustomer.org,41,True,2006-02-14,1,Pamela Baker,1440 Fukuyama Loop,Henan,362,47929,912257250465.0,Nanyang,23,China
38,1,Martha,Gonzalez,martha.gonzalez@sakilacustomer.org,42,True,2006-02-14,1,Martha Gonzalez,269 Cam Ranh Parkway,Chisinau,115,34689,489783829737.0,Chisinau,61,Moldova
39,1,Debra,Nelson,debra.nelson@sakilacustomer.org,43,True,2006-02-14,1,Debra Nelson,306 Antofagasta Place,Esprito Santo,569,3989,378318851631.0,Vila Velha,15,Brazil
40,2,Amanda,Carter,amanda.carter@sakilacustomer.org,44,True,2006-02-14,1,Amanda Carter,671 Graz Street,Oriental,353,94399,680768868518.0,Nador,62,Morocco
41,1,Stephanie,Mitchell,stephanie.mitchell@sakilacustomer.org,45,True,2006-02-14,1,Stephanie Mitchell,42 Brindisi Place,Yerevan,586,16744,42384721397.0,Yerevan,7,Armenia
42,2,Carolyn,Perez,carolyn.perez@sakilacustomer.org,46,True,2006-02-14,1,Carolyn Perez,1632 Bislig Avenue,Nonthaburi,394,61117,471675840679.0,Pak Kret,94,Thailand
43,2,Christine,Roberts,christine.roberts@sakilacustomer.org,47,True,2006-02-14,1,Christine Roberts,1447 Imus Way,Tahiti,167,48942,539758313890.0,Faaa,36,French Polynesia
44,1,Marie,Turner,marie.turner@sakilacustomer.org,48,True,2006-02-14,1,Marie Turner,1998 Halifax Drive,Lipetsk,308,76022,177727722820.0,Lipetsk,80,Russian Federation
45,1,Janet,Phillips,janet.phillips@sakilacustomer.org,49,True,2006-02-14,1,Janet Phillips,1718 Valencia Street,Antofagasta,27,37359,675292816413.0,Antofagasta,22,Chile
