rental_id;rental_date;inventory_id;customer_id;name_customer;staff_id;film_id;store_id;category_id;categoria
2;2005-05-24 22:54:33.000;3021;1;Mary Smith;2;663;2;4;Classics
3;2005-05-24 23:03:39.000;4020;1;Mary Smith;1;875;1;15;Sports
4;2005-05-24 23:04:41.000;2785;1;Mary Smith;2;611;2;4;Classics
5;2005-05-24 23:05:21.000;1021;1;Mary Smith;2;228;2;4;Classics
6;2005-05-24 23:08:07.000;1407;1;Mary Smith;1;308;1;5;Comedy
7;2005-05-24 23:11:53.000;726;1;Mary Smith;1;159;1;5;Comedy
8;2005-05-24 23:31:46.000;197;1;Mary Smith;2;44;2;14;Sci-Fi
9;2005-05-25 00:00:40.000;3497;1;Mary Smith;1;766;1;7;Drama
10;2005-05-25 00:02:21.000;4566;1;Mary Smith;1;997;1;12;Music
11;2005-05-25 00:09:02.000;1443;1;Mary Smith;2;316;2;10;Games
12;2005-05-25 00:19:27.000;3486;1;Mary Smith;2;764;2;15;Sports
13;2005-05-25 00:22:55.000;3726;1;Mary Smith;2;814;2;5;Comedy
14;2005-05-25 00:31:15.000;797;1;Mary Smith;1;174;1;12;Music
15;2005-05-25 00:39:22.000;1330;1;Mary Smith;2;294;2;16;Travel
16;2005-05-25 00:43:11.000;2465;1;Mary Smith;1;539;1;7;Drama
17;2005-05-25 01:06:36.000;1092;1;Mary Smith;2;243;2;2;Animation
18;2005-05-25 01:10:47.000;4268;1;Mary Smith;1;929;1;9;Foreign
19;2005-05-25 01:17:24.000;1558;1;Mary Smith;1;341;1;4;Classics
20;2005-05-25 01:48:41.000;4497;1;Mary Smith;1;982;1;1;Action
21;2005-05-25 01:59:46.000;108;1;Mary Smith;2;22;2;13;New
22;2005-05-25 02:19:23.000;2219;1;Mary Smith;2;480;2;4;Classics
23;2005-05-25 02:40:21.000;14;1;Mary Smith;1;3;1;6;Documentary
24;2005-05-25 02:53:02.000;1090;2;Patricia Johnson;2;243;2;2;Animation
25;2005-05-25 03:21:20.000;352;2;Patricia Johnson;2;78;2;2;Animation
